v1,v2,v3,v4,v5,v6,v7,v8,v9,r
-5.244265723966151,0,-2.544468793066625,-12,0,0.0,-7,-19,8,0
6.0,0,4.922793357659083,4,0,,6,11,10,0
-7.882468675607589,1,0.08777267660798937,-10,0,0.0,-11,-20,8,1
-7.155857030277098,0,-0.7135778896444318,-13,0,1.0,-10,-24,7,1
2.2573365690204916,1,-2.380116573563542,5,1,0.0,3,9,10,0
-7.760821447242788,1,3.1017123557804576,-5,1,0.0,-10,-14,8,1
5.0,0,5.815867428769895,8,0,0.0,2,10,9,1
5.0,1,5.838185312452297,3,1,0.0,2,6,9,0
6.0,1,7.05781189279816,0,1,,3,3,8,0
0.010756621744341964,0,0.9473415686950212,4,0,11.0,-3,0,8,1
-0.5533966296716395,0,1.1169622971961473,5,1,16.0,3,9,5,1
3.736254198770894,1,-2.4355219608612533,1,1,0.0,1,1,7,0
6.0,0,5.476772546794584,6,0,0.0,8,15,9,1
5.0,0,6.018739378326207,6,0,,6,12,9,1
5.0,1,6.054610292697481,8,0,0.0,7,16,7,0
-7.722634816767429,0,0.6361226735445307,-10,1,,-5,-14,9,0
-7.75219307066628,0,-0.22893610516238905,-5,1,1.0,-10,-15,11,1
6.0,0,6.745066880310039,0,0,0.0,2,2,8,0
-1.3868573267235709,0,-5.982811191617135,-5,1,0.0,-6,-10,6,1
1.2370121028917265,0,-0.34970538815712005,5,1,47.0,-3,2,12,1
-0.8407124930945704,0,-2.035268335278927,-5,1,,-2,-6,7,1
5.0,1,4.4740129890805385,0,1,0.0,4,5,7,0
5.0,1,6.3342890927881275,0,1,0.0,8,7,8,0
-7.973210474779762,0,1.2825303054703294,-9,0,0.0,-10,-19,5,1
-7.711727657503141,0,0.10382034919874084,-6,0,0.0,-7,-14,6,0
6.0,0,6.669714158372083,8,0,0.0,5,13,8,1
-3.506633768717136,1,-4.093316959898647,-5,0,0.0,-9,-14,9,0
-7.98625822553544,1,0.10159465895464415,-13,1,0.0,-11,-23,7,1
-7.953590496623601,1,0.13544202738648092,-9,1,0.0,-10,-20,7,1
5.0,1,6.522576779361644,8,1,0.0,2,10,5,1
6.0,1,6.976916824187833,9,1,0.0,4,14,7,0
