,saison,distancemer,altitude,vegetation,densite,nb_averses,volume,pluieLendemain
0,Automne,81.22793226143638,2813.302024010614,Rare,9.526872798288759,0,0.0,0
1,Printemps,48.541983929901136,238.6462234542267,Rare,1.1767638686332103,1,0.7817570899538314,1
2,Été,30.059326330966716,263.48333549596,Faible,1.5319989299722214,0,0.0,0
3,Hiver,25.024687157079015,448.60909466107853,Moyenne,9.185488274924404,0,0.0,0
4,Printemps,5.85327027581116,128.05071588504282,Moyenne,2.350866700107913,1,1.1012285384522773,1
5,Printemps,38.49646454436025,131.4281919268188,Moyenne,1.690809624060528,2,1.6098866791583675,1
6,Printemps,11.04983621944727,11.297413672877891,Moyenne,59.99243287324748,1,1.1898930351443389,1
7,Été,32.0873264137386,166.06016080287233,Moyenne,8.734045165583321,0,0.0,0
8,Été,23.44699834972936,112.31206913969189,Faible,26.078048023943644,1,0.5545249485530873,0
9,Hiver,20.101041518354954,401.0252074716479,Moyenne,3.8499963644086943,0,0.0,0
10,Automne,37.68576185008552,763.9480083697837,Moyenne,0.5811799760807741,1,0.6270717412907748,0
11,Hiver,4.507427580302482,59.769171357365664,Rare,9.696699520407147,2,1.9942657707650575,1
12,Été,19.772235153638253,307.4536454750185,Dense,10.60729144311649,1,0.7210463973027861,0
13,Été,3.4065592187745155,16.923305186753332,Faible,20.02011720117203,0,0.0,1
14,Automne,15.657381539173938,227.56234179206396,Rare,19.718647431764886,1,0.856596483143735,1
15,Été,21.409760988182324,247.98416748286945,Rare,30.773652241867822,1,0.5636138119325209,0
16,Hiver,50.764459633705656,348.4803358702574,Dense,0.10306708996905266,2,1.3145606968122991,0
17,Automne,8.74279373173865,69.4702486736923,Dense,4.9920782492598175,0,0.0,0
18,Printemps,31.814594306666727,200.19677594359024,Faible,1.5792853149214723,1,0.8240074000946109,0
19,Printemps,57.15950476793676,1158.8238677506674,Faible,6.039408562470553,0,0.0,0
20,Printemps,6.913700832936577,0.7059958703492863,Faible,2.9006241529449763,2,2.4106059982568033,1
21,Été,2.306802092443283,46.34012412138082,Faible,34.3301870716573,0,0.0,1
22,Hiver,34.68670376563897,759.6060554855859,Faible,8.265159848772171,2,1.3907286227731561,0
23,Automne,5.067704573448469,66.9439206004388,Faible,0.48503824389068106,2,1.8602919721760771,0
24,Printemps,4.412705107240535,22.266680154150297,Rare,8.019673088459493,1,1.1183692019136353,1
25,Automne,9.961898030075108,51.15925877653955,Dense,3.524349083920542,0,0.0,0
26,Été,29.48127498352245,218.82261739912755,Moyenne,12.17678379686882,1,0.5316243134734008,0
27,Automne,21.021964871024906,101.87848743350862,Dense,57.98025687763839,1,0.6854415270613665,0
28,Automne,9.581213482504667,5.677544523365098,Moyenne,7.56443799370265,2,2.0292365840603592,1
29,Automne,1.3329983584030265,4.100285122440312,Rare,0.9591987652855728,2,2.133440935233613,1
30,Automne,41.25521436948021,568.7374282531158,Moyenne,1.875608030810148,1,0.6180222373685086,0
31,Hiver,11.332809833852028,94.64574229809297,Moyenne,10.3099906664017,1,0.9381069489763636,1
32,Printemps,7.163870049503664,123.85988022892742,Faible,0.15811450421337947,1,1.088306093862233,1
33,Été,25.010190765662696,272.88860602074965,Moyenne,33.88791373468191,1,0.5480711517454603,0
34,Hiver,17.902529675068457,12.273696868757117,Dense,4.66254313638164,0,0.0,0
35,Automne,2.6938174207792556,47.885865040467046,Faible,70.7805739298339,1,0.9637363318503802,0
36,Été,7.12808953668617,7.585138086925565,Moyenne,23.429930715564172,0,0.0,1
37,Printemps,75.5418889992753,912.8758832287061,Faible,4.777652474646988,0,0.0,0
38,Automne,47.26102753523073,179.74090225553357,Moyenne,1.3342451614739261,0,0.0,0
39,Été,4.3967940375117625,22.212270654326858,Moyenne,10.203596029441135,0,0.0,0
40,Été,9.42287398792666,0.001110824907401033,Rare,4.136222031766831,2,1.7903380900322,1
41,Automne,9.658136570520329,61.58614247479122,Rare,9.326780611104727,1,0.8887077672381694,0
42,Printemps,21.47422990884642,30.099160696291147,Rare,16.151739688413443,0,0.0,0
43,Hiver,62.47200387578234,73.7723934784965,Dense,0.9111187695234434,0,0.0,0
